Manufacturer,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban Cold,Metric Extra-Urban,Metric Combined,Imperial Urban Cold,Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel_Cost_12000_Miles,Noise Level dBA,Emissions CO mg/km,Emissions Nox mg/km
KIA,'3' 1.6 CRDi 134bhp DCT,DCT7,1582,Diesel,5.5,4.6,5,51.3,61.4,56.5,130,1188,72,101,47
KIA,'Mixx' 1.6 CRDi 134bhp,M6,1582,Diesel,5.8,4.2,4.8,48.7,67.2,58.8,128,1141,73,146,35
KIA,'Urban' 1.6 CRDi 134bhp,M6,1582,Diesel,5.8,4.2,4.8,48.7,67.2,58.8,128,1141,73,146,35
KIA,'1' 1.7 CRDi 114bhp ISG,M6,1685,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,119,1093,71,257,34
KIA,'2' 1.7 CRDi 114bhp ISG,M6,1685,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,119,1093,71,257,34
KIA,'2' 1.7 CRDi 139bhp 7-speed auto DCT ISG,DCT7,1685,Diesel,5.4,4.7,4.9,52.3,60.1,57.6,129,1165,72,244,40
KIA,'3' 1.7 CRDi 114bhp ISG,M6,1685,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,119,1093,71,257,34
KIA,'3' 1.7 CRDi 139bhp 7-speed auto DCT ISG,DCT7,1685,Diesel,5.4,4.7,4.9,52.3,60.1,57.6,129,1165,72,244,40
KIA,'4' 1.7 CRDi 114bhp ISG,M6,1685,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,119,1093,71,257,34
KIA,'2' 1.4 CRDi 89bhp,M6,1396,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,115,1045,70,165,38
KIA,'3' 1.6 CRDi 114bhp ISG,M6,1582,Diesel,5.1,4,4.4,55.4,70.6,64.2,115,1045,70,261,42
KIA,'4' 1.6 CRDi 114bhp ISG,M6,1582,Diesel,5.1,4,4.4,55.4,70.6,64.2,115,1045,70,271,42
KIA,'SR7' 1.4 CRDi 89bhp,M6,1396,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,115,1045,70,165,38
LAND ROVER,2.0L TD4 (150PS) E-Capability 5-seater Manual AWD,M6-AWD,1999,Diesel,5.6,4.5,4.9,50.4,62.8,57.7,129,1163,72,208,56
LAND ROVER,2.0L TD4 (150PS & 180PS) Coupé & 5-door Manual AWD,M6-AWD,1999,Diesel,5.5,4.3,4.8,51.4,65.7,58.9,125,1139,71,339,45
LAND ROVER,2.0L TD4 (150PS & 180PS) Coupé Auto AWD,A9-AWD,1999,Diesel,5.8,4.4,4.9,48.7,64.2,57.7,129,1163,71,147,55
LAND ROVER,2.0L TD4 (150PS) 5-door Manual 2WD,6MT,1999,Diesel,5,3.9,4.3,56.5,72.4,65.7,113,1021,71,339,45
MAZDA,1.5 SKYACTIV-D (105PS) 5 door AWD,M6,1499,Diesel,4.9,4.6,4.7,57.6,61.4,60.1,123,1116,71,285,58
MAZDA,2.2 SKYACTIV-D (150PS) 2WD,M6,2191,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,119,1093,71,97,68
MAZDA,1.5 SKYACTIV-D (105PS),A6,1499,Diesel,4.9,4.1,4.4,57.6,68.9,64.2,114,1045,67,182,58
MAZDA,2.2 SKYACTIV-D (150PS),A6,2191,Diesel,6,4.1,4.8,47.1,68.9,58.9,127,1139,68,277,61
MAZDA,2.2 SKYACTIV-D (150PS),A6,2191,Diesel,6,4.2,4.8,47.1,67.3,58.9,127,1139,69.1,212,45
MAZDA,2.2 SKYACTIV-D (175PS),M6,2191,Diesel,5.5,3.9,4.5,51.4,72.4,62.8,119,1068,69.5,274,48
MAZDA,2.2 SKYACTIV-D (175PS),A6,2191,Diesel,6,4.2,4.8,47.1,67.3,58.9,127,1139,69.1,212,45
MAZDA,2.2 SKYACTIV-D (150PS),A6,2191,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,129,1165,69.1,212,45
MAZDA,2.2 SKYACTIV-D (150PS) Sport Nav,M6,2191,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,116,1045,69.5,168,51
MAZDA,2.2 SKYACTIV-D (175PS),M6,2191,Diesel,5.7,4,4.6,49.6,70.6,61.4,121,1093,69.5,274,48
MAZDA,2.2 SKYACTIV-D (175PS),A6,2191,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,129,1165,69.1,212,45
MERCEDES-BENZ,A200 d with 17'' rear wheels,M6,2143,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,111,1021,72,266,50
MERCEDES-BENZ,A200 d with 18'' rear wheels,M6,2143,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,111,1021,72,266,50
MERCEDES-BENZ,A220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,124,1139,74,215,62
MERCEDES-BENZ,A 200 d with 17'' rear wheels,M6,2143,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,111,1021,72,266,50
MERCEDES-BENZ,A 200 d with 18'' rear wheels,M6,2143,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,111,1021,72,266,50
MERCEDES-BENZ,A 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,124,1139,74,215,62
MERCEDES-BENZ,B 200 d with 17'' rear wheels,M6,2143,Diesel,5.3,3.7,4.3,53.3,76.4,65.7,112,1021,71,266,50
MERCEDES-BENZ,B 200 d with 18'' rear wheels,M6,2143,Diesel,5.3,3.7,4.3,53.3,76.4,65.7,112,1021,71,266,50
MERCEDES-BENZ,B 220 d 4MATIC with 17'' rear wheels,A7,2143,Diesel,5.9,4.5,5,47.9,62.8,56.5,130,1188,72,215,62
MERCEDES-BENZ,B 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.9,4.5,5,47.9,62.8,56.5,130,1188,72,215,62
MERCEDES-BENZ,B 200 d with 17'' rear wheels,M6,2143,Diesel,5.3,3.7,4.3,53.3,76.4,65.7,112,1021,71,266,50
MERCEDES-BENZ,B 200 d with 18'' rear wheels,M6,2143,Diesel,5.3,3.7,4.3,53.3,76.4,65.7,112,1021,71,266,50
MERCEDES-BENZ,B 220 d 4MATIC with 17'' rear wheels,A7,2143,Diesel,5.9,4.5,5,47.9,62.8,56.5,130,1188,72,215,62
MERCEDES-BENZ,B 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.9,4.5,5,47.9,62.8,56.5,130,1188,72,215,62
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.8,4.7,5,48.7,60.1,56.5,130,1188,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,M6,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,116,1068,75,252,61
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,190,69
MERCEDES-BENZ,C 220 d with 18'' rear wheels,M6,2143,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,119,1068,75,252,61
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.3,4.4,4.8,53.3,64.2,58.9,123,1139,71,190,69
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A9,2143,Diesel,5.4,4.5,4.9,52.3,62.8,57.7,124,1163,71,190,69
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,126,1139,75,252,61
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.3,4.4,4.8,53.3,64.2,58.9,123,1139,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,5.4,4.5,4.9,52.3,62.8,57.7,124,1163,71,190,69
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.4,4.5,4.9,52.3,62.8,57.7,126,1163,71,180,67
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.4,4.7,4.9,52.3,60.1,57.7,126,1163,71,190,69
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.8,4.7,5,48.7,60.1,56.5,130,1188,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,M6,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,116,1068,75,239,77
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,M6,2143,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,119,1068,75,239,77
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.4,4.5,4.9,52.3,62.8,57.7,126,1163,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,126,1139,75,239,77
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,121,1093,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.4,4.7,4.9,52.3,60.1,57.7,126,1163,71,190,69
MERCEDES-BENZ,C220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,180,67
MERCEDES-BENZ,C220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,180,67
MERCEDES-BENZ,C220 d with 18'' rear wheels,M6,2143,Diesel,5.3,3.8,4.3,53.3,74.3,65.7,113,1021,75,252,61
MERCEDES-BENZ,C220 d with 19'' rear wheels,M6,2143,Diesel,5.3,3.9,4.4,53.3,72.4,64.2,116,1045,75,252,61
MERCEDES-BENZ,C220 d with 19'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,124,1045,71,190,69
MERCEDES-BENZ,C250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,190,68
MERCEDES-BENZ,C250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,190,68
MERCEDES-BENZ,C250 d with 18'' rear wheels,A9,2143,Diesel,5.1,4.1,4.3,55.4,68.9,65.7,112,1021,71,190,69
MERCEDES-BENZ,C250 d with 19'' rear wheels,A9,2143,Diesel,5.1,4.1,4.4,55.4,68.9,64.2,116,1045,71,190,69
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A9,2143,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,124,1116,71,180,67
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5,4,4.4,56.5,70.6,64.2,115,1045,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,120,1093,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,5.5,4.5,4.8,51.4,62.8,58.9,127,1139,71,190,69
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,180,67
MERCEDES-BENZ,C 220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,M6,2143,Diesel,5.3,3.8,4.3,53.3,74.3,65.7,113,1021,75,239,77
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5.3,3.9,4.4,53.3,72.4,64.2,116,1045,75,239,77
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A9,2143,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,124,1116,71,180,67
MERCEDES-BENZ,C 250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,190,69
MERCEDES-BENZ,C 250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,190,69
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5,4,4.4,56.5,70.6,64.2,115,1045,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.2,4.3,4.6,54.3,65.7,61.4,120,1093,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,5.5,4.5,4.8,51.4,62.8,58.9,127,1139,71,190,69
MERCEDES-BENZ,C 200 d with 16'' rear wheels,A7,1598,Diesel,5.2,3.6,4.3,54.3,74.3,65.7,114,1021,67,273,54
MERCEDES-BENZ,C 200 d with 17'' rear wheels,M6,1598,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,111,1045,73,446,68
MERCEDES-BENZ,C 200 d with 17'' rear wheels,A7,1598,Diesel,5.2,3.8,4.3,54.3,74.3,65.7,114,1021,67,273,54
MERCEDES-BENZ,C 200 d with 18'' rear wheels,M6,1598,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,117,1093,73,446,68
MERCEDES-BENZ,C 200 d with 18'' rear wheels,A7,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,121,1093,67,273,54
MERCEDES-BENZ,C 200 d with 19'' rear wheels,M6,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,120,1093,73,446,68
MERCEDES-BENZ,C 200 d with 19'' rear wheels,A7,1598,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,124,1139,67,273,54
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1116,71,180,67
MERCEDES-BENZ,C 220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.7,4.5,4.9,49.6,62.8,57.7,129,1163,71,180,67
MERCEDES-BENZ,C 220 d with 16'' rear wheels,A7,2143,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,1045,70,182,56
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A7,2143,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,1045,70,182,56
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.3,3.8,4.4,53.3,75.3,64.2,114,1045,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,M6,2143,Diesel,5.4,4,4.5,52.3,70.6,62.8,115,1068,75,252,61
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A7,2143,Diesel,5.5,4.1,4.7,51.4,68.9,60.1,119,1116,70,182,56
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4.1,4.7,50.4,68.9,60.1,120,1116,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,118,1068,75,252,61
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A7,2143,Diesel,5.7,4.2,4.8,49.6,67.3,58.9,122,1139,70,182,56
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A9,2143,Diesel,5.9,4.4,5,47.9,64.2,56.5,127,1188,71,180,67
MERCEDES-BENZ,C 250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1116,71,190,68
MERCEDES-BENZ,C 250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.7,4.5,4.9,49.6,62.8,57.7,129,1163,71,190,68
MERCEDES-BENZ,C 250 d with 16'' rear wheels,A7,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,182,56
MERCEDES-BENZ,C 250 d with 16'' rear wheels,A9,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,190,69
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A7,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,182,56
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A7,2143,Diesel,5.6,4.2,4.8,50.4,67.3,58.9,122,1139,71,182,56
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.7,4.2,4.8,49.6,67.3,58.9,123,1139,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A7,2143,Diesel,5.8,4.3,4.9,48.7,65.7,57.7,125,1163,71,182,56
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,6,4.5,5.1,47.1,62.8,55.4,130,1211,71,190,69
MERCEDES-BENZ,C 200 d with 16'' rear wheels,A7,1598,Diesel,5.2,3.8,4.3,54.3,74.3,65.7,114,1021,67,273,54
MERCEDES-BENZ,C 200 d with 17'' rear wheels,M6,1598,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,111,1045,73,446,68
MERCEDES-BENZ,C 200 d with 17'' rear wheels,A7,1598,Diesel,5.2,3.8,4.3,54.3,74.3,65.7,114,1021,67,273,54
MERCEDES-BENZ,C 200 d with 18'' rear wheels,M6,1598,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,117,1093,73,446,68
MERCEDES-BENZ,C 200 d with 18'' rear wheels,A7,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,121,1093,67,273,54
MERCEDES-BENZ,C 200 d with 19'' rear wheels,M6,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,120,1093,73,446,68
MERCEDES-BENZ,C 200 d with 19'' rear wheels,A7,1598,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,124,1139,67,273,54
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1116,71,180,67
MERCEDES-BENZ,C 220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.7,4.5,4.9,49.6,62.8,57.7,129,1163,71,180,67
MERCEDES-BENZ,C 220 d with 16'' rear wheels,A9,2143,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,1045,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,1045,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,M6,2143,Diesel,5.4,4,4.5,52.3,70.6,62.8,115,1068,75,239,77
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4.1,4.7,50.4,68.9,60.1,120,1116,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,118,1068,75,239,77
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A9,2143,Diesel,5.9,4.4,5,47.9,64.2,56.5,127,1188,71,180,67
MERCEDES-BENZ,C 250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1116,71,190,69
MERCEDES-BENZ,C 250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.7,4.5,4.9,49.6,62.8,57.7,129,1163,71,190,69
MERCEDES-BENZ,C 250 d with 16'' rear wheels,A9,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,190,69
MERCEDES-BENZ,"C 250 d with 17"" rear wheels",A9,2143,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,117,1068,71,190,69
MERCEDES-BENZ,"C 250 d with 18"" rear wheels",A9,2143,Diesel,5.7,4.2,4.8,49.6,67.3,58.9,123,1139,71,190,69
MERCEDES-BENZ,"C 250 d with 19"" rear wheels",A9,2143,Diesel,6,4.5,5.1,47.1,62.8,55.4,130,1211,71,190,69
MERCEDES-BENZ,C 200 d with 16'' rear wheels,A7,1598,Diesel,5.2,3.7,4.3,54.3,76.4,65.7,111,1021,67,273,54
MERCEDES-BENZ,C 200 d with 17'' rear wheels,A7,1598,Diesel,5.2,3.7,4.3,54.3,76.4,65.7,111,1021,67,273,54
MERCEDES-BENZ,C 200 d with 18'' rear wheels,A7,1598,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,116,1068,67,273,54
MERCEDES-BENZ,C 200 d with 19'' rear wheels,A7,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,119,1093,67,273,54
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,180,67
MERCEDES-BENZ,C 220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,180,67
MERCEDES-BENZ,C 220 d with 16'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A7,2143,Diesel,5.6,4,4.5,50.4,70.6,62.8,117,1068,69,182,56
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5,3.7,4.2,56.5,76.4,67.3,113,997,73,278,62
MERCEDES-BENZ,C 220 d with 19'' rear wheels,A7,2143,Diesel,5.6,4.1,4.6,50.4,68.9,61.4,121,1093,69,182,56
MERCEDES-BENZ,C 250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,190,68
MERCEDES-BENZ,C 250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,190,68
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A7,2143,Diesel,5.5,3.9,4.5,51.4,72.4,62.8,117,1068,69,182,56
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A7,2143,Diesel,5.6,4.1,4.6,50.4,68.9,61.4,121,1093,69,182,56
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,124,1116,71,190,69
MERCEDES-BENZ,C 200 d with 16'' rear wheels,A7,1598,Diesel,5.2,3.7,4.3,54.3,76.4,65.7,111,1021,67,273,54
MERCEDES-BENZ,C 200 d with 17'' rear wheels,A7,1598,Diesel,5.2,3.7,4.3,54.3,76.4,65.7,111,1021,67,273,54
MERCEDES-BENZ,C 200 d with 18'' rear wheels,A7,1598,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,116,1068,67,273,54
MERCEDES-BENZ,C 200 d with 19'' rear wheels,A7,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,119,1093,67,273,54
MERCEDES-BENZ,C 220 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,180,67
MERCEDES-BENZ,C 220 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,180,67
MERCEDES-BENZ,C 220 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.3,112,1044,71,180,67
MERCEDES-BENZ,C 220 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,180,67
MERCEDES-BENZ,C 220 d with 19'' rear wheels,M6,2143,Diesel,5,3.7,4.2,56.5,76.4,67.3,113,997,73,278,62
MERCEDES-BENZ,C 250 d 4MATIC with 17'' rear wheels,A9,2143,Diesel,5.4,4.2,4.6,52.3,67.3,61.4,122,1093,71,190,69
MERCEDES-BENZ,C 250 d 4MATIC with 18'' rear wheels,A9,2143,Diesel,5.6,4.4,4.8,50.4,64.2,58.9,127,1139,71,190,69
MERCEDES-BENZ,C 250 d with 16'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,190,69
MERCEDES-BENZ,C 250 d with 17'' rear wheels,A9,2143,Diesel,5.4,3.7,4.4,52.3,76.4,64.2,112,1045,71,190,69
MERCEDES-BENZ,C 250 d with 18'' rear wheels,A9,2143,Diesel,5.6,4,4.6,50.4,70.6,61.4,117,1093,71,190,69
MERCEDES-BENZ,C 250 d with 19'' rear wheels,A9,2143,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,124,1116,71,190,69
MERCEDES-BENZ,CLA 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.7,4.2,4.8,49.6,67.3,58.9,123,1139,72,215,62
MERCEDES-BENZ,CLA 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.7,4.2,4.8,49.6,67.3,58.9,123,1139,72,215,62
MERCEDES-BENZ,CLA 200 d with 18'' rear wheels,M6,2143,Diesel,5.4,3.6,4.3,52.3,78.5,65.7,111,1021,71,266,50
MERCEDES-BENZ,CLA 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.9,4.2,4.8,47.9,67.3,58.9,126,1139,72,215,62
MERCEDES-BENZ,CLA 200 d with 18'' rear wheels,M6,2143,Diesel,5.4,3.6,4.3,52.3,78.5,65.7,111,1021,71,266,50
MERCEDES-BENZ,CLA 220 d 4MATIC with 18'' rear wheels,A7,2143,Diesel,5.9,4.2,4.8,47.9,67.3,58.9,126,1139,72,215,62
MERCEDES-BENZ,CLS 220 d with 19'' rear wheels,A7,2143,Diesel,5.9,4.3,4.9,47.9,65.7,57.7,129,1163,70,143,43
MERCEDES-BENZ,E 220 d with 19'' rear wheels,A9,1950,Diesel,5.1,4.2,4.6,55.4,67.3,61.4,119,1093,69,94,56
MERCEDES-BENZ,E 220 d with 20'' rear wheels,A9,1950,Diesel,5.1,4.2,4.6,55.4,67.3,61.4,119,1093,69,94,56
MERCEDES-BENZ,E 200 d with 18'' rear wheels,A9,1950,Diesel,4.6,4.1,4.3,61.4,68.9,65.7,112,1021,72,94,56
